Time,P[W],Source File
28.700000,96.000000,J4It2
28.800000,96.400000,J4It2
28.900000,94.300000,J4It1
29.000000,97.900000,J4It1
29.100000,96.200000,J4It2
29.200000,96.300000,J4It1
29.300000,96.300000,J4It1
29.400000,97.100000,J4It2
29.500000,96.200000,J4It1
29.600000,98.700000,J4It2
29.700000,108.900000,J4It2
29.800000,108.100000,J4It2
29.900000,108.600000,J4It1
30.000000,106.800000,J4It2
30.100000,109.000000,J4It2
30.200000,107.000000,J4It2
30.300000,108.400000,J4It1
30.400000,106.200000,J4It2
30.500000,108.400000,J4It2
30.600000,107.400000,J4It2
30.700000,107.700000,J4It2
30.800000,108.100000,J4It1
30.900000,107.800000,J4It2
31.000000,107.300000,J4It1
31.100000,98.100000,J4It1
31.200000,96.700000,J4It1
31.300000,95.200000,J4It2
31.400000,96.400000,J4It1
31.500000,95.800000,J4It1
31.600000,96.200000,J4It1
31.700000,95.000000,J4It1
31.800000,96.400000,J4It1
31.900000,95.100000,J4It2
32.000000,97.200000,J4It1
32.100000,96.400000,J4It2
32.200000,102.600000,J4It2
32.300000,101.900000,J4It1
32.400000,102.200000,J4It2
32.500000,102.800000,J4It2
32.600000,102.800000,J4It2
32.700000,102.900000,J4It1
32.800000,101.600000,J4It2
32.900000,102.900000,J4It2
33.000000,102.100000,J4It1
33.100000,102.700000,J4It2
33.200000,101.400000,J4It1
33.300000,101.900000,J4It2
33.400000,101.200000,J4It2
33.500000,102.000000,J4It2
33.600000,102.100000,J4It1
33.700000,102.500000,J4It1
33.800000,101.900000,J4It1
33.900000,101.800000,J4It1
34.000000,102.500000,J4It1
34.100000,102.200000,J4It1
34.200000,102.100000,J4It1
34.300000,101.500000,J4It2
34.400000,102.300000,J4It2
34.500000,101.900000,J4It1
34.600000,102.900000,J4It1
34.700000,101.600000,J4It1
34.800000,102.600000,J4It1
34.900000,101.800000,J4It2
35.000000,102.600000,J4It1
35.100000,99.800000,J4It1
35.200000,96.100000,J4It2
35.300000,96.600000,J4It2
35.400000,96.500000,J4It1
35.500000,96.500000,J4It1
35.600000,95.300000,J4It2
35.700000,96.500000,J4It1
35.800000,95.500000,J4It2
35.900000,96.400000,J4It1
36.000000,95.000000,J4It2
36.100000,96.300000,J4It1
36.200000,100.500000,J4It2
36.300000,102.100000,J4It2
36.400000,101.900000,J4It1
36.500000,102.000000,J4It1
36.600000,100.800000,J4It1
36.700000,101.900000,J4It2
36.800000,101.700000,J4It1
36.900000,102.000000,J4It1
37.000000,102.700000,J4It1
37.100000,101.800000,J4It2
37.200000,102.300000,J4It2
37.300000,101.900000,J4It1
37.400000,102.200000,J4It1
37.500000,100.900000,J4It2
37.600000,101.800000,J4It1
37.700000,101.600000,J4It2
37.800000,102.200000,J4It2
37.900000,101.600000,J4It2
38.000000,101.400000,J4It1
38.100000,103.700000,J4It2
38.200000,101.800000,J4It1
38.300000,102.600000,J4It2
38.400000,100.600000,J4It1
38.500000,101.600000,J4It2
38.600000,102.300000,J4It2
38.700000,102.200000,J4It1
38.800000,101.100000,J4It1
38.900000,102.100000,J4It1
39.000000,100.600000,J4It1
39.100000,99.100000,J4It1
39.200000,96.700000,J4It1
39.300000,95.500000,J4It1
39.400000,95.900000,J4It1
39.500000,95.600000,J4It2
39.600000,96.700000,J4It1
39.700000,95.600000,J4It1
39.800000,96.200000,J4It1
39.900000,95.200000,J4It1
40.000000,96.800000,J4It2
40.100000,96.100000,J4It2
40.200000,96.200000,J4It2
40.300000,95.300000,J4It1
40.400000,96.200000,J4It1
40.500000,96.200000,J4It2
40.600000,96.500000,J4It2
40.700000,95.800000,J4It1
40.800000,96.500000,J4It2
40.900000,96.400000,J4It2
41.000000,96.200000,J4It1
41.100000,97.000000,J4It2
41.200000,95.600000,J4It2
41.300000,96.300000,J4It2
41.400000,94.200000,J4It1
41.500000,96.400000,J4It1
41.600000,95.900000,J4It1
